path,id
AI_CUP/bounding_box_train/0003317_0925-190000-191900_0000309_acc_data.bmp,3317
AI_CUP/bounding_box_train/0001859_0924-150000-151900_0000243_acc_data.bmp,1859
AI_CUP/bounding_box_train/0000841_0903-150000-151900_0000207_acc_data.bmp,841
AI_CUP/bounding_box_train/0000779_0902-190000-191900_0000300_acc_data.bmp,779
AI_CUP/bounding_box_train/0001771_0924-150000-151900_0000081_acc_data.bmp,1771
AI_CUP/bounding_box_train/0003550_0925-190000-191900_0000046_acc_data.bmp,3550
AI_CUP/bounding_box_train/0003705_1015-150000-151900_0000343_acc_data.bmp,3705
AI_CUP/bounding_box_train/0003167_0925-150000-151900_0000225_acc_data.bmp,3167
AI_CUP/bounding_box_train/0001533_0924-150000-151900_0000176_acc_data.bmp,1533
AI_CUP/bounding_box_train/0002264_0924-190000-191900_0000066_acc_data.bmp,2264
AI_CUP/bounding_box_train/0000042_0902-150000-151900_0000171_acc_data.bmp,42
AI_CUP/bounding_box_train/0003445_0925-190000-191900_0000229_acc_data.bmp,3445
AI_CUP/bounding_box_train/0002353_0924-190000-191900_0000050_acc_data.bmp,2353
AI_CUP/bounding_box_train/0001498_0924-150000-151900_0000002_acc_data.bmp,1498
AI_CUP/bounding_box_train/0003651_1015-150000-151900_0000222_acc_data.bmp,3651
AI_CUP/bounding_box_train/0001024_0903-150000-151900_0000046_acc_data.bmp,1024
AI_CUP/bounding_box_train/0002287_0924-190000-191900_0000225_acc_data.bmp,2287
AI_CUP/bounding_box_train/0001710_0924-150000-151900_0000156_acc_data.bmp,1710
AI_CUP/bounding_box_train/0001770_0924-150000-151900_0000084_acc_data.bmp,1770
AI_CUP/bounding_box_train/0003056_0925-150000-151900_0000199_acc_data.bmp,3056
AI_CUP/bounding_box_train/0001022_0903-150000-151900_0000358_acc_data.bmp,1022
AI_CUP/bounding_box_train/0002434_0925-150000-151900_0000079_acc_data.bmp,2434
AI_CUP/bounding_box_train/0002499_0925-150000-151900_0000292_acc_data.bmp,2499
AI_CUP/bounding_box_train/0003834_1015-150000-151900_0000231_acc_data.bmp,3834
AI_CUP/bounding_box_train/0003788_1015-150000-151900_0000213_acc_data.bmp,3788
AI_CUP/bounding_box_train/0002741_0925-150000-151900_0000131_acc_data.bmp,2741
AI_CUP/bounding_box_train/0003082_0925-150000-151900_0000279_acc_data.bmp,3082
AI_CUP/bounding_box_train/0003614_0925-190000-191900_0000314_acc_data.bmp,3614
AI_CUP/bounding_box_train/0001785_0924-150000-151900_0000304_acc_data.bmp,1785
AI_CUP/bounding_box_train/0002297_0924-190000-191900_0000309_acc_data.bmp,2297
AI_CUP/bounding_box_train/0001017_0903-150000-151900_0000332_acc_data.bmp,1017
AI_CUP/bounding_box_train/0000417_0902-150000-151900_0000100_acc_data.bmp,417
AI_CUP/bounding_box_train/0002086_0924-190000-191900_0000296_acc_data.bmp,2086
AI_CUP/bounding_box_train/0002470_0925-150000-151900_0000168_acc_data.bmp,2470
AI_CUP/bounding_box_train/0000763_0902-190000-191900_0000128_acc_data.bmp,763
AI_CUP/bounding_box_train/0001693_0924-150000-151900_0000094_acc_data.bmp,1693
AI_CUP/bounding_box_train/0002451_0925-150000-151900_0000127_acc_data.bmp,2451
AI_CUP/bounding_box_train/0002898_0925-150000-151900_0000219_acc_data.bmp,2898
AI_CUP/bounding_box_train/0001932_0924-150000-151900_0000252_acc_data.bmp,1932
AI_CUP/bounding_box_train/0002745_0925-150000-151900_0000006_acc_data.bmp,2745
AI_CUP/bounding_box_train/0001821_0924-150000-151900_0000174_acc_data.bmp,1821
AI_CUP/bounding_box_train/0002745_0925-150000-151900_0000237_acc_data.bmp,2745
AI_CUP/bounding_box_train/0002431_0925-150000-151900_0000068_acc_data.bmp,2431
AI_CUP/bounding_box_train/0003938_1015-150000-151900_0000033_acc_data.bmp,3938
AI_CUP/bounding_box_train/0001737_0924-150000-151900_0000278_acc_data.bmp,1737
AI_CUP/bounding_box_train/0002317_0924-190000-191900_0000169_acc_data.bmp,2317
AI_CUP/bounding_box_train/0001919_0924-150000-151900_0000174_acc_data.bmp,1919
AI_CUP/bounding_box_train/0003615_0925-190000-191900_0000311_acc_data.bmp,3615
AI_CUP/bounding_box_train/0003259_0925-190000-191900_0000166_acc_data.bmp,3259
AI_CUP/bounding_box_train/0002666_0925-150000-151900_0000155_acc_data.bmp,2666
AI_CUP/bounding_box_train/0000289_0902-150000-151900_0000138_acc_data.bmp,289
AI_CUP/bounding_box_train/0001472_0903-190000-191900_0000012_acc_data.bmp,1472
AI_CUP/bounding_box_train/0002350_0924-190000-191900_0000192_acc_data.bmp,2350
AI_CUP/bounding_box_train/0003558_0925-190000-191900_0000066_acc_data.bmp,3558
AI_CUP/bounding_box_train/0003623_0925-190000-191900_0000324_acc_data.bmp,3623
AI_CUP/bounding_box_train/0001562_0924-150000-151900_0000259_acc_data.bmp,1562
AI_CUP/bounding_box_train/0002458_0925-150000-151900_0000138_acc_data.bmp,2458
AI_CUP/bounding_box_train/0001901_0924-150000-151900_0000109_acc_data.bmp,1901
AI_CUP/bounding_box_train/0002343_0924-190000-191900_0000307_acc_data.bmp,2343
AI_CUP/bounding_box_train/0003708_1015-150000-151900_0000315_acc_data.bmp,3708
AI_CUP/bounding_box_train/0003940_1015-150000-151900_0000054_acc_data.bmp,3940
AI_CUP/bounding_box_train/0001432_0903-190000-191900_0000038_acc_data.bmp,1432
AI_CUP/bounding_box_train/0003441_0925-190000-191900_0000343_acc_data.bmp,3441
AI_CUP/bounding_box_train/0001527_0924-150000-151900_0000097_acc_data.bmp,1527
AI_CUP/bounding_box_train/0003027_0925-150000-151900_0000117_acc_data.bmp,3027
